category,hook
Educational,Here’s exactly how much (X0) you need to (result)
Curiosity,Did you know this about (topic)?
Relatable,I failed at (X5) until I learned this
Listicle,8 strategies for (growth)
Educational,Beginner’s guide to (topic)
Curiosity,This sounds crazy but it works
Relatable,"I used to think (X12), but now…"
Listicle,7 hacks for (goal)
Educational,"If you want to (goal), start with this"
Curiosity,I tried (action) for (time)… here’s what happened
Relatable,This is what nobody prepares you for
Listicle,3 things you need to know about (topic)
Educational,"In 60 seconds, I’ll teach you how to (result)"
Curiosity,"Nobody talks about this, but…"
Relatable,You’re not alone if you feel this
Listicle,9 tips for (improvement)
Educational,The only framework you need to (result)
Curiosity,Here’s what no one tells you about (topic)
Relatable,This was me before (change)
Listicle,4 tools that help you (result)
Educational,The fastest way to learn (skill)
Curiosity,This one thing is secretly ruining your (result)
Relatable,"If you’re struggling with (problem), read this"
Listicle,5 mistakes to avoid when (action)
Educational,"Everyone tells you to (action), but here’s how to actually do it"
Curiosity,This changed everything for me
Relatable,This hit me hard
Listicle,Top 5 lessons from (experience)
Educational,3 simple steps to (result)
Curiosity,What if I told you (X50) could (result)?
Relatable,"If you feel stuck, this is for you"
Listicle,6 secrets to (success)
Educational,How to go from (before) to (after) in (time)
Curiosity,Wait till you see this
Relatable,I wish I knew this earlier
Listicle,Top 10 ways to (result)
Educational,Step-by-step: how to (result) without (pain point)
Curiosity,You’re probably doing this wrong
Relatable,Real talk about (topic)
Listicle,3 rules for (topic)
Educational,Here’s exactly how much (X70) you need to (result)
Curiosity,Did you know this about (topic)?
Relatable,I failed at (X75) until I learned this
Listicle,8 strategies for (growth)
Educational,Beginner’s guide to (topic)
Curiosity,This sounds crazy but it works
Relatable,"I used to think (X82), but now…"
Listicle,7 hacks for (goal)
Educational,"If you want to (goal), start with this"
Curiosity,I tried (action) for (time)… here’s what happened
Relatable,This is what nobody prepares you for
Listicle,3 things you need to know about (topic)
Educational,"In 60 seconds, I’ll teach you how to (result)"
Curiosity,"Nobody talks about this, but…"
Relatable,You’re not alone if you feel this
Listicle,9 tips for (improvement)
Educational,The only framework you need to (result)
Curiosity,Here’s what no one tells you about (topic)
Relatable,This was me before (change)
Listicle,4 tools that help you (result)
Educational,The fastest way to learn (skill)
Curiosity,This one thing is secretly ruining your (result)
Relatable,"If you’re struggling with (problem), read this"
Listicle,5 mistakes to avoid when (action)
Educational,"Everyone tells you to (action), but here’s how to actually do it"
Curiosity,This changed everything for me
Relatable,This hit me hard
Listicle,Top 5 lessons from (experience)
Educational,3 simple steps to (result)
Curiosity,What if I told you (X120) could (result)?
Relatable,"If you feel stuck, this is for you"
Listicle,6 secrets to (success)
Educational,How to go from (before) to (after) in (time)
Curiosity,Wait till you see this
Relatable,I wish I knew this earlier
Listicle,Top 10 ways to (result)
Educational,Step-by-step: how to (result) without (pain point)
Curiosity,You’re probably doing this wrong
Relatable,Real talk about (topic)
Listicle,3 rules for (topic)
Educational,Here’s exactly how much (X140) you need to (result)
Curiosity,Did you know this about (topic)?
Relatable,I failed at (X145) until I learned this
Listicle,8 strategies for (growth)
Educational,Beginner’s guide to (topic)
Curiosity,This sounds crazy but it works
Relatable,"I used to think (X152), but now…"
Listicle,7 hacks for (goal)
Educational,"If you want to (goal), start with this"
